word,correl
summer,-0.49595692164104382
continued,0.0027689360391774487
women,0.45311548514779071
plans,0.74570160997190382
answer,0.4558022597245015
british,-0.62928024446593656
administration,-0.16995872445001148
done,0.69189737339724011
technical,0.2007419780336763
states,0.50495116039771315
mrs.,0.2082859839434269
program,-0.47878337615258226
shot,0.5635264006841646
district,0.048160444265125113
words,0.42328982837264217
research,-0.25840904009998872
spent,0.40441569161629698
hardly,-0.28420993483583468
student,0.25170904685009904
bed,0.10422114237203046
number,0.22409047400187437
cost,0.37300809918719491
understand,0.2410314525065215
followed,0.61195451764027364
deep,0.16319614897658552
considered,0.61437069275491174
university,0.20019107870457745
times,-0.59173667440309674
room,-0.18808242686720658
attack,0.26629361923457373
report,-0.10784018898046874
rates,-0.56475788254872505
treatment,0.38797732665086021
direct,0.33995707042998485
hour,-0.48267469498954785
covered,0.1010684384244374
think,0.22861310516282887
extent,-0.078477372315319704
told,0.2726041471333906
york,-0.40563700435454336
point,-0.082141401255449359
led,0.39822178286855042
family,0.43453587547599809
time,-0.25781229705398651
justice,-0.038400961556937625
process,0.049037169852572421
area,-0.15282759893207828
organization,-0.20188525705578464
despite,-0.33723639423910839
letters,0.56721447545531012
foreign,-0.75012657564983964
necessary,0.30489118981276342
prepared,0.39019796325536482
men,0.10952485012495063
private,-0.58690310512990806
new,-0.26363761169818895
simply,0.2812011987975731
stress,0.3043360077810911
national,0.010742642772995569
complete,0.74988752509028933
members,0.21130841555470267
consider,0.42561452547181244
appear,0.54003056650567494
eye,0.27952968757605196
find,0.56294231465032007
military,0.015749704879030661
schools,0.31229330663302873
club,-0.53743550599523526
larger,0.59892282856429702
moral,0.046232314613224773
rate,-0.56417669529059822
mr.,-0.22112758221932902
road,0.05916850994779705
europe,-0.61535450867813779
going,0.56596677684527164
mouth,0.63849663586616112
added,0.59734974217707715
social,-0.24344210565385155
designed,0.54949711180120608
pretty,0.45938393298035385
red,-0.0022623892725848051
minutes,-0.0064568451631798265
opened,0.097042331964467182
man,0.32613370465227515
relations,-0.58230717580167191
difference,0.39001136865517971
land,0.5033959312612909
international,-0.69019567608411458
original,0.2322963829717854
length,0.47150397870886729
reaction,0.37516955152230236
attitude,0.35891630404726671
wall,0.028923378251188615
wanted,0.57782039511160288
waiting,-0.10388305645382495
months,0.16130728249162746
husband,0.34802008297261794
meeting,-0.56091100667625149
current,0.042882112290627133
lay,0.679338467695774
nation,0.11592328609270841
clear,0.10622219817914544
farm,0.062192668948240132
course,-0.33921687276062873
stood,0.15189425032136067
brought,0.49610406505564564
serve,0.33776762858167581
conditions,0.37401129331272687
children,0.32572268874565169
scene,0.21399622730150947
young,0.3810416983639841
aj,0.15380532295623545
hair,0.19988748599645423
name,0.64078641674170289
areas,0.34313382770900253
trees,0.51144092083111781
easily,0.67082698508088434
run,0.14374591501447603
step,0.62451259392285308
study,0.3910640598058604
simple,0.29682640229221247
able,0.6386888652038023
st.,0.071249406719703312
returned,0.18425121173895331
change,0.23896011575170206
firm,0.1121925870685862
de,-0.30375826749726387
data,-0.39366772587052673
based,0.46005595945105876
control,0.49991229722315189
french,-0.39772726965292532
hot,0.35446354727870155
natural,0.052171257420456599
days,0.31893607013751862
state,0.40699577328842357
operation,-0.14361161077720949
sense,-0.18826985239829827
school,0.10898657373919671
order,0.49511231563820468
near,-0.33386064095287077
equipment,0.60884416967681676
obviously,-0.050251691229595566
lines,0.40064523891140186
understanding,0.14744235763343405
working,0.14443883633876461
questions,0.36872518462281495
long,-0.077195697885371312
year,0.56716881059259794
use,0.59720157185139933
east,-0.24256320605645204
mind,-0.38887081626959696
short,0.41812777032711429
religious,0.52920248492982591
feel,0.21001887589760712
john,0.012215283227474403
information,0.43553524881601702
served,0.44999972162397772
pay,0.2548186667051659
chief,-0.063606230393997404
press,-0.133318350289585
particularly,0.49630201419391734
washington,-0.44089824971370095
reach,-0.060525466255393415
field,-0.12734152501488261
kept,0.55243507347951926
influence,0.35803028622631006
knowledge,-0.14661444583502634
looked,0.60817341129113245
top,0.33139687454049838
am,0.68498301814248685
hotel,-0.69607047015787304
cars,0.63060588598000167
tax,-0.12178308626063973
cause,0.64395782382449218
help,0.74616973109149043
early,0.26180672491127999
similar,0.38960187858622575
nature,-0.29352794074470306
right,0.45873016550653495
boys,0.28778168729870324
effects,0.58734841376174229
full,0.25997988762870583
book,0.44168097217540736
training,-0.066255991602935507
forms,0.28058416526572494
interest,-0.08309499342304115
saying,0.67276132792055332
letter,-0.032175026961322052
